school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
108691,69.89300537109375,40.932594299316406,0,-1.0,-1.0,-1.0,-1.0,2,9
106566,4.479686737060547,7.995152473449707,0,42.38716506958008,38.01077270507813,37.71198272705078,36.00355911254883,1,11
105034,1.4105327129364014,20.48365974426269,0,-1.0,-1.0,-1.0,-1.0,1,3
105695,8.346291542053223,19.432775497436523,0,23.81285095214844,46.99127197265625,47.98784637451172,52.22748947143555,1,7
105562,7.2719783782958975,12.925124168395994,0,36.78389358520508,21.347278594970703,39.42689514160156,15.551395416259766,1,7
107002,71.96354675292969,2.5799977779388428,0,31.58148193359375,53.17644500732422,32.76330947875977,45.77150344848633,1,12
107517,12.158164978027346,32.14882278442383,0,11.550018310546875,31.33918380737305,33.31250762939453,18.82534408569336,2,2
107805,10.780309677124023,28.622943878173828,0,-1.0,-1.0,-1.0,-1.0,2,2
106931,9.389781951904297,23.16809272766113,0,-1.0,-1.0,-1.0,-1.0,1,12
105320,3.4591376781463623,13.068227767944336,0,-1.0,-1.0,-1.0,-1.0,1,7
106138,20.2260856628418,8.112912178039549,0,25.079626083374023,33.34115982055664,19.426389694213867,27.15653991699219,1,8
106406,6.104666709899902,10.904047012329102,0,-1.0,-1.0,-1.0,-1.0,1,11
105208,1.957354187965393,41.60647583007813,0,36.3695182800293,28.38864898681641,18.509366989135746,37.430809020996094,1,7
106666,31.708965301513672,35.26975631713867,0,23.4750919342041,17.028312683105472,31.12437438964844,18.352205276489254,1,11
109087,77.12932586669922,52.17650985717773,0,34.198986053466804,39.316200256347656,41.56100082397461,43.44343185424805,2,9
107649,59.08476638793945,14.42702865600586,0,-1.0,-1.0,-1.0,-1.0,2,2
106890,35.10416412353516,25.405914306640625,0,-1.0,-1.0,-1.0,-1.0,1,12
105419,11.764233589172365,9.528883934020996,0,-1.0,-1.0,-1.0,-1.0,1,7
105741,13.943161010742188,22.934051513671875,0,-1.0,-1.0,-1.0,-1.0,1,7
108281,60.53921508789063,32.48036956787109,0,41.327735900878906,37.23406982421875,36.2946662902832,26.82707023620605,2,5
105524,0.7286303639411926,3.989838361740112,0,-1.0,-1.0,-1.0,-1.0,1,7
104686,26.14433670043945,25.442930221557614,0,-1.0,-1.0,-1.0,-1.0,1,1
105632,0.9565035700798036,21.078739166259766,0,-1.0,-1.0,-1.0,-1.0,1,7
109106,55.03128051757813,14.403571128845215,0,47.40210342407226,27.177364349365234,28.628725051879893,29.67672920227051,2,9
106947,7.8774189949035645,19.1881160736084,0,-1.0,-1.0,-1.0,-1.0,1,12
106627,13.967387199401855,23.635168075561523,0,29.00758171081543,29.364990234375,37.43900680541992,22.82497787475586,1,11
107675,19.269371032714844,29.392051696777344,0,16.602201461791992,33.42593002319336,22.4177303314209,23.539573669433594,2,2
104699,33.67940902709961,10.892828941345217,0,-1.0,-1.0,-1.0,-1.0,1,1
104818,7.210728645324707,31.94635772705078,0,35.42152404785156,38.48488998413086,41.33979415893555,50.3495979309082,1,3
105492,1.7487939596176147,2.0504658222198486,0,-1.0,-1.0,-1.0,-1.0,1,7
106827,2.904069185256958,1.7315990924835205,0,24.26114654541016,18.2149600982666,36.53234481811523,23.501909255981445,1,12
104508,6.718040466308594,42.22166061401367,0,-1.0,-1.0,-1.0,-1.0,1,0
108726,66.57695770263672,41.320220947265625,0,-1.0,-1.0,-1.0,-1.0,2,9
105519,0.1526368260383606,16.121170043945312,0,-1.0,-1.0,-1.0,-1.0,1,7
104503,11.767285346984865,20.33498191833496,0,32.11479949951172,31.64161491394043,43.10993194580078,30.96743011474609,1,0
106126,13.716207504272461,3.3436310291290283,0,36.35564804077149,31.08768081665039,29.85070037841797,35.946998596191406,1,8
104530,10.630626678466797,17.065624237060547,0,46.81890106201172,42.977638244628906,56.74983215332031,47.29555892944336,1,1
105030,0.30112865567207336,2.0040268898010254,0,20.09244155883789,30.926603317260746,24.84678840637207,24.57341194152832,1,3
105789,29.947229385375977,3.986429691314697,0,23.51908302307129,22.83452415466309,46.465797424316406,29.141925811767567,1,7
159515,7.7667646408081055,37.62019348144531,0,-1.0,-1.0,-1.0,-1.0,1,8
106874,6.5052032470703125,15.770915031433105,0,-1.0,-1.0,-1.0,-1.0,1,12
108326,71.62055969238281,70.48796081542969,0,22.973546981811523,20.479244232177734,18.62881851196289,26.11730766296387,2,5
106181,9.578866004943848,14.30481243133545,0,44.177101135253906,40.01047897338867,21.93100357055664,47.18946075439453,1,8
107641,21.126914978027344,21.673131942749023,0,33.213924407958984,20.57801055908203,45.01495742797852,30.95003890991211,2,2
105365,2.588183879852295,7.45933723449707,0,-1.0,-1.0,-1.0,-1.0,1,7
105748,2.5996079444885254,7.112961292266847,0,-1.0,-1.0,-1.0,-1.0,1,7
105745,1.334242343902588,24.39369201660156,0,25.52284812927246,33.51909637451172,38.26496124267578,23.309040069580078,1,7
136794,41.06248474121094,37.97801208496094,0,49.63312530517578,49.22487258911133,48.69670104980469,30.61305809020996,0,6
105446,2.208920955657959,38.53279495239258,0,38.91047286987305,28.31318664550781,40.20018005371094,26.920249938964844,1,7
108868,77.7602767944336,35.81848526000977,0,36.95240783691406,28.919008255004893,25.85526466369629,30.70280265808105,2,9
106238,2.733211040496826,23.926616668701172,0,35.27044677734375,30.94208526611328,23.236915588378906,30.57827568054199,1,8
105712,2.5353899002075195,8.563506126403809,0,-1.0,-1.0,-1.0,-1.0,1,7
104949,25.60378646850586,31.06330680847168,0,-1.0,-1.0,-1.0,-1.0,1,3
107496,9.793338775634766,6.194467067718506,0,38.1292839050293,43.10566329956055,24.170753479003906,35.019989013671875,2,2
106418,2.954922914505005,18.5234489440918,0,-1.0,-1.0,-1.0,-1.0,1,11
104950,21.50347900390625,13.689562797546387,0,-1.0,-1.0,-1.0,-1.0,1,3
107468,2.219445943832397,29.294078826904297,0,-1.0,-1.0,-1.0,-1.0,2,2
107898,33.58615875244141,45.54951095581055,0,66.71336364746094,65.03765869140625,56.5714111328125,56.18354034423828,2,4
104909,50.83077621459961,48.18119812011719,0,36.24641036987305,32.80710220336914,41.83391952514648,39.86964797973633,1,3
106716,30.383378982543945,3.966198921203613,0,-1.0,-1.0,-1.0,-1.0,1,11
106807,53.91078186035156,68.410888671875,0,34.12631607055664,29.660850524902344,25.71154022216797,25.16247367858887,1,12
105994,1.0904850959777832,21.348690032958984,0,36.20210647583008,47.37209701538086,27.200719833374023,48.46847915649414,1,8
106034,3.282762289047241,60.69560241699219,0,-1.0,-1.0,-1.0,-1.0,1,8
104832,54.75495910644531,67.60302734375,0,39.35638046264648,42.72955322265625,39.97317123413086,41.66363143920898,1,3
105122,1.635267972946167,41.20851516723633,0,-1.0,-1.0,-1.0,-1.0,1,3
105494,0.36737412214279175,5.039317607879639,0,12.646158218383787,12.630348205566404,12.769397735595705,16.64314079284668,1,7
107639,15.500232696533205,13.86143970489502,0,-1.0,-1.0,-1.0,-1.0,2,2
105687,1.8174824714660645,20.420486450195312,0,-1.0,-1.0,-1.0,-1.0,1,7
106113,7.577428340911865,14.308595657348633,0,62.28822326660156,42.11209106445313,32.01670455932617,47.78859329223633,1,8
105155,53.73429489135742,51.51964950561523,0,37.80935287475586,52.00537490844727,49.58863067626953,33.133132934570305,1,3
109460,62.517333984375,27.48493194580078,0,44.17687225341797,39.63118362426758,46.28459167480469,35.551937103271484,2,10
107234,8.924086570739746,13.814332962036133,0,-1.0,-1.0,-1.0,-1.0,2,2
106844,4.63671875,19.2231559753418,0,36.38804626464844,32.93347930908203,22.9833984375,24.44125747680664,1,12
107653,23.68814849853516,55.48001480102539,0,-1.0,-1.0,-1.0,-1.0,2,2
105015,24.198471069335934,12.867959976196287,0,27.320575714111328,31.31767272949219,43.61644744873047,42.09760284423828,1,3
105860,3.2389276027679443,17.206634521484375,0,-1.0,-1.0,-1.0,-1.0,1,7
106293,7.255385875701903,24.838775634765625,0,41.16057968139648,19.854888916015625,26.25626564025879,44.55693435668945,1,8
104694,7.534014225006103,42.66474533081055,0,36.10168838500977,36.93640899658203,30.158016204833984,33.55416488647461,1,1
105167,25.56279563903809,40.25829315185547,0,-1.0,-1.0,-1.0,-1.0,1,3
104730,35.477970123291016,60.02817153930664,0,26.19040679931641,17.43729019165039,46.22048568725586,43.44744110107422,1,3
106038,1.3522979021072388,23.302186965942386,0,-1.0,-1.0,-1.0,-1.0,1,8
106051,4.922954559326172,11.941205978393555,0,52.46722793579102,31.720378875732425,51.144432067871094,54.95973205566406,1,8
106070,7.19957447052002,13.38790512084961,0,22.994123458862305,14.62080192565918,15.982033729553224,34.10632705688477,1,8
105422,5.3228044509887695,5.442917823791504,0,30.537900924682607,29.87194633483887,43.98302841186523,22.39418029785156,1,7
105259,0.6646755337715149,2.0036273002624507,0,-1.0,-1.0,-1.0,-1.0,1,7
136870,59.53067016601562,38.547943115234375,0,44.0869255065918,48.75527572631836,59.23360061645508,80.49616241455078,0,6
107260,44.68986511230469,45.38198852539063,0,-1.0,-1.0,-1.0,-1.0,2,2
105263,3.795932531356812,29.923593521118164,0,29.909074783325195,29.14689445495605,33.27652359008789,28.688085556030273,1,7
109753,61.44939804077149,73.3360824584961,0,53.33293533325195,48.25870132446289,58.97654724121094,57.05733871459961,2,5
136766,41.97021865844727,64.49978637695311,0,65.43926239013672,46.00516128540039,48.03987884521485,45.844886779785156,0,6
105987,10.553292274475098,29.21150016784668,0,37.19812393188477,43.33367156982422,43.639381408691406,25.29801750183105,1,8
105172,1.7282748222351074,11.540225982666016,0,26.68678474426269,18.559120178222656,26.23548889160156,17.9044189453125,1,7
107020,7.309390544891357,16.451343536376953,0,38.481117248535156,36.73932266235352,53.4576187133789,53.02022171020508,1,12
105336,3.3250598907470703,3.1365509033203125,0,-1.0,-1.0,-1.0,-1.0,1,7
106166,47.57136535644531,10.755002975463867,0,36.08572006225586,40.31145858764648,28.7359676361084,30.138713836669922,1,8
106920,7.269406318664551,41.94845199584961,0,29.070770263671875,40.20083999633789,38.36513900756836,32.398204803466804,1,12
136656,53.52264785766602,54.20673370361328,0,40.95980072021485,53.7156867980957,28.75183486938477,62.01941299438477,0,6
108127,30.03545188903809,23.892120361328125,0,28.419944763183594,18.347082138061523,22.240877151489254,26.74400520324707,2,4
105352,1.26891028881073,15.891196250915527,0,35.83604049682617,21.256305694580078,27.967660903930664,18.19531440734864,1,7
108106,14.715080261230467,34.906524658203125,0,34.32262420654297,51.720863342285156,31.077205657958984,37.642127990722656,2,4
105497,3.158324241638184,0.532018780708313,0,28.61844825744629,26.145570755004893,15.004709243774414,20.861461639404297,1,7
104958,10.707979202270508,40.070457458496094,0,-1.0,-1.0,-1.0,-1.0,1,3
106290,28.55972671508789,43.20857238769531,0,-1.0,-1.0,-1.0,-1.0,1,8
105202,2.536942720413208,17.031366348266598,0,26.9869441986084,30.955196380615234,39.7104606628418,37.1982536315918,1,7
105940,1.86911416053772,57.66874694824219,0,27.85366439819336,36.09590148925781,26.70133209228516,24.68545341491699,1,8
105206,15.94279670715332,14.38656997680664,0,-1.0,-1.0,-1.0,-1.0,1,7
136626,50.11798095703125,40.51213836669922,0,-1.0,-1.0,-1.0,-1.0,0,6
105290,0.1596330851316452,4.176588535308838,0,-1.0,-1.0,-1.0,-1.0,1,7
108174,41.72339630126953,52.34989547729492,0,-1.0,-1.0,-1.0,-1.0,2,4
107710,28.87990760803223,25.528961181640625,0,21.05440902709961,46.28482055664063,41.20233917236328,37.45252227783203,2,2
136599,61.54086685180664,52.3354606628418,0,-1.0,-1.0,-1.0,-1.0,0,6
108908,75.98278045654297,54.63847351074219,0,-1.0,-1.0,-1.0,-1.0,2,9
109664,40.23897171020508,15.83747386932373,0,29.071941375732425,38.301231384277344,31.533203125,18.852291107177734,2,2
107025,20.93042755126953,5.400741100311278,0,31.84908866882324,38.03939056396485,56.45549392700195,33.270767211914055,1,8
105779,2.444391250610352,18.561079025268555,0,-1.0,-1.0,-1.0,-1.0,1,7
